OCCURRENCES,ARRIVAL_AIRPORT_IATA,DEPARTURE_AIRPORT_IATA,DEPARTURE_DATE,ARRIVAL_AIRPORT_DESCRIPTION,DEPARTURE_AIRPORT_DESCRIPTION,ARRIVAL_CITY,DEPARTURE_CITY,ARRIVAL_COUNTRY_CODE,DEPARTURE_COUNTRY_CODE,ARRIVAL_COUNTRY,DEPARTURE_COUNTRY,ALARM_REASON,OPERATOR_NOTES,RISK_FLAG,DEPARTURE_COUNTRY_FULL,ARRIVAL_COUNTRY_CODE_FULL,ZONE_3,ARRIVAL_COUNTRY_PERCENTAGE,TOTAL_FLIGHTS
"Voli solo visualizzati, ma NON investigati",LIN,LCY,2024-02-04 13:45:00,Linate,London City,Milano,London,ITA,,Italia,Regno Unito,Manuale,No information provided,LOW,Regno Unito,ITA,2,Italia,1.0
Viaggiatori entrati nel Sistema,NAP,DXB,2024-02-07 07:30:00,Napoli Capodichino,Dubai International,Napoli,Dubai,ITA,,Italia,Emirati Arabi Uniti,NSIS,No information provided,LOW,Emirati Arabi Uniti,ITA,6,Italia,102.0
Voli con Allarmi,PSA,TIA,2024-01-02 21:30:00,Galileo Galilei,Rinas Mother Teresa,Pisa,Tirana,ITA,ALB,Italia,Albania,NSIS,No information provided,LOW,Albania,ITA,8,Italia,1.0
Voli disponibili in ingresso al Sistema,BLQ,LHR,2024-02-24 13:55:00,Guglielmo Marconi,London Heathrow,Bologna,London,ITA,,Italia,Regno Unito,No information provided,No information provided,LOW,Regno Unito,ITA,8,Italia,1.0
Voli con Allarmi,VRN,MAN,2024-02-03 06:15:00,Verona Villafranca,Manchester,Verona,Manchester,ITA,,Italia,Regno Unito,NSIS,No information provided,LOW,Regno Unito,ITA,4,Italia,1.0
Voli disponibili in ingresso al Sistema,BGY,EDI,2024-02-02 16:35:00,Orio Al Serio,Edinburgh,Bergamo,Edinburgh,ITA,,Italia,Regno Unito,Manuale,No information provided,LOW,Regno Unito,ITA,2,Italia,1.0
Viaggiatori entrati nel Sistema,BLQ,LHR,2024-01-12 00:00:00,Guglielmo Marconi,London Heathrow,Bologna,London,ITA,,Italia,Regno Unito,No information provided,No information provided,LOW,Regno Unito,ITA,8,Italia,106.0
Voli disponibili in ingresso al Sistema,FCO,EVN,2024-02-05 03:40:00,Fiumicino,Zvartnots,Roma,Yerevan,ITA,ARM,Italia,Armenia,TSC,No information provided,LOW,Armenia,ITA,5,Italia,1.0
Nulla a procedere NSIS,BGY,RAK,2024-01-07 09:30:00,Orio Al Serio,Menara,Bergamo,Marrakech,ITA,MAR,Italia,Marocco,No information provided,No information provided,HIGH,Marocco,ITA,2,Italia,1.0
Viaggiatori entrati nel Sistema,FCO,SSH,2024-01-30 21:20:00,Fiumicino,Sharm El-Sheikh International,Roma,Sharm El Sheikh,ITA,EGY,Italia,Egitto,Manuale,No information provided,MEDIUM,Egitto,ITA,5,Italia,192.0
Viaggiatori entrati nel Sistema,MXP,IST,2024-02-14 08:40:00,Malpensa,Havalimani,Milano,Istanbul,ITA,,Italia,Turchia,TSC,No information provided,LOW,Turchia,ITA,2,Italia,235.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),VCE,EVN,2024-01-05 20:45:00,Venezia Marco Polo,Zvartnots,Venezia,Yerevan,ITA,ARM,Italia,Armenia,NSIS,No information provided,LOW,Armenia,ITA,4,Italia,1.0
Nulla a procedere SDI,MXP,DEL,2024-02-20 14:20:00,Malpensa,Indira Gandhi International,Milano,New Delhi,ITA,IND,Italia,India,NSIS,No information provided,LOW,India,ITA,2,Italia,23.0
Viaggiatori entrati nel Sistema,FCO,GRU,2024-02-04 20:40:00,Fiumicino,Sao Paulo/Guarulhos-Governador Andre Franco Montoro International,Roma,Sao Paulo,ITA,BRA,Italia,Brasile,TSC,No information provided,LOW,Brasile,ITA,5,Italia,292.0
Viaggiatori con Allarmi,BLQ,LHR,2024-02-22 19:40:00,Guglielmo Marconi,London Heathrow,Bologna,London,ITA,,Italia,Regno Unito,SDI,No information provided,LOW,Regno Unito,ITA,8,Italia,2.0
Allarmi generati da SDI/NSIS,TSF,TIA,2024-01-03 06:50:00,Treviso-Sant'Angelo,Rinas Mother Teresa,Treviso,Tirana,ITA,ALB,Italia,Albania,Manuale,No information provided,LOW,Albania,ITA,4,Italia,20.0
Voli disponibili in ingresso al Sistema,FCO,LGW,2024-01-30 21:15:00,Fiumicino,London Gatwick,Roma,London,ITA,,Italia,Regno Unito,INTERPOL,No information provided,LOW,Regno Unito,ITA,5,Italia,1.0
Voli disponibili in ingresso al Sistema,MXP,IST,2024-02-26 00:00:00,Malpensa,Havalimani,Milano,Istanbul,ITA,,Italia,Turchia,No information provided,No information provided,LOW,Turchia,ITA,2,Italia,1.0
Viaggiatori entrati nel Sistema,VRN,LGW,2024-01-04 09:20:00,Verona Villafranca,London Gatwick,Verona,London,ITA,,Italia,Regno Unito,INTERPOL,No information provided,LOW,Regno Unito,ITA,4,Italia,151.0
Voli disponibili in ingresso al Sistema,BLQ,STN,2024-01-19 08:55:00,Guglielmo Marconi,Stansted,Bologna,London,ITA,,Italia,Regno Unito,Manuale,No information provided,LOW,Regno Unito,ITA,8,Italia,1.0
Allarmi generati da SDI/NSIS,VCE,CMN,2024-01-04 15:20:00,Venezia Marco Polo,Mohamed V,Venezia,Casablanca,ITA,MAR,Italia,Marocco,No information provided,No information provided,LOW,Marocco,ITA,4,Italia,44.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),FCO,LGW,2024-02-23 06:40:00,Fiumicino,London Gatwick,Roma,London,ITA,,Italia,Regno Unito,SDI,No information provided,LOW,Regno Unito,ITA,5,Italia,1.0
Notifica Atti/Provv,MXP,DSS,2024-01-13 01:20:00,Malpensa,Blaise Diagne International,Milano,Dakar,ITA,SEN,Italia,Senegal,NSIS,No information provided,LOW,Senegal,ITA,2,Italia,1.0
Allarmi generati da SDI/NSIS,MXP,TUN,2024-02-04 07:45:00,Malpensa,Carthage,Milano,Tunis,ITA,TUN,Italia,Tunisia,NSIS,No information provided,LOW,Tunisia,ITA,2,Italia,26.0
Voli con Allarmi,FCO,AUH,2024-02-22 17:45:00,Fiumicino,Abu Dhabi International,Roma,Abu Dhabi,ITA,,Italia,Emirati Arabi Uniti,No information provided,No information provided,LOW,Emirati Arabi Uniti,ITA,5,Italia,1.0
Allarmi generati da SDI/NSIS,MXP,ALA,2024-02-19 03:40:00,Malpensa,Almaty,Milano,Almaty,ITA,KAZ,Italia,Kazakistan,SDI,No information provided,LOW,Kazakistan,ITA,2,Italia,1.0
Voli con Allarmi,MXP,JED,2024-02-16 19:30:00,Malpensa,King Abdulaziz International,Milano,Jeddah,ITA,,Italia,Arabia Saudita,NSIS,No information provided,LOW,Arabia Saudita,ITA,2,Italia,1.0
Voli con Allarmi,BLQ,STN,2024-01-06 11:25:00,Guglielmo Marconi,Stansted,Bologna,London,ITA,,Italia,Regno Unito,SDI,No information provided,LOW,Regno Unito,ITA,8,Italia,1.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),MXP,TIA,2024-01-28 12:50:00,Malpensa,Rinas Mother Teresa,Milano,Tirana,ITA,ALB,Italia,Albania,INTERPOL,No information provided,LOW,Albania,ITA,2,Italia,1.0
Nulla a procedere SDI,GOA,STN,2024-01-01 00:00:00,Cristoforo Colombo,Stansted,Genova,London,ITA,,Italia,Regno Unito,NSIS,No information provided,LOW,Regno Unito,ITA,1,Italia,3.0
Nulla a procedere SDI,FCO,LHR,2024-02-20 09:20:00,Fiumicino,London Heathrow,Roma,London,ITA,,Italia,Regno Unito,INTERPOL,No information provided,LOW,Regno Unito,ITA,5,Italia,2.0
Viaggiatori entrati nel Sistema,TRN,BRS,2024-01-06 06:20:00,Sandro Pertini,Bristol,Torino,Bristol,ITA,,Italia,Regno Unito,INTERPOL,No information provided,LOW,Regno Unito,ITA,1,Italia,88.0
Allarmi Chiusi,TRN,LTN,2024-02-17 00:00:00,Sandro Pertini,London Luton,Torino,London,ITA,,Italia,Regno Unito,INTERPOL,No information provided,LOW,Regno Unito,ITA,1,Italia,1.0
Voli con Allarmi,FCO,ALG,,Fiumicino,Houari Boumediene,Roma,Algiers,ITA,DZA,Italia,Algeria,Manuale,No information provided,LOW,Algeria,ITA,5,Italia,1.0
Viaggiatori con Allarmi,LIN,LCY,2024-02-22 00:00:00,Linate,London City,Milano,London,ITA,,Italia,Regno Unito,TSC,No information provided,LOW,Regno Unito,ITA,2,Italia,1.0
Voli con Allarmi,BGY,BRS,2024-02-26 18:10:00,Orio Al Serio,Bristol,Bergamo,Bristol,ITA,,Italia,Regno Unito,SDI,No information provided,LOW,Regno Unito,ITA,2,Italia,1.0
Nulla a procedere SDI,MXP,STN,2024-01-25 07:15:00,Malpensa,Stansted,Milano,London,ITA,,Italia,Regno Unito,INTERPOL,No information provided,LOW,Regno Unito,ITA,2,Italia,4.0
